Periode,dju,Conso
2013-01-31,429.55833333333334,5967.547057620383
2013-02-28,407.59999999999997,6115.861979166666
2013-03-31,355.5083333333334,5516.0567876344085
2013-04-30,219.61666666666667,4645.860879629629
2013-05-31,171.125,4106.993279569892
2013-06-30,48.69166666666666,3800.439236111111
2013-07-31,3.0,3870.1248879928316
2013-08-31,7.2250000000000005,3516.135864695341
2013-09-30,46.275,3823.243981481481
2013-10-31,105.23333333333333,4124.084005376344
2013-11-30,310.4583333333333,5213.323958333333
2013-12-31,375.3333333333333,5576.183019713262
2014-01-31,332.4166666666667,5492.412298387097
2014-02-28,290.27500000000003,5489.756820436508
2014-03-31,254.28333333333333,4807.492831541219
2014-04-30,153.15,4178.368518518519
2014-05-31,111.86666666666667,3863.177195340502
2014-06-30,21.808333333333334,3748.873726851852
2014-07-31,9.008333333333333,3774.66789874552
2014-08-31,25.724999999999998,3445.069668458781
2014-09-30,25.616666666666664,3824.6694444444443
2014-10-31,91.39166666666667,4044.124439964158
2014-11-30,219.45833333333334,4675.691203703705
2014-12-31,378.05833333333334,5502.685259856631
2015-01-31,399.5333333333333,5849.6606182795695
2015-02-28,377.59999999999997,5999.006448412699
2015-03-31,284.30833333333334,5098.108534946236
2015-04-30,163.68333333333334,4245.231481481481
2015-05-31,95.55,3778.798835125448
2015-06-30,23.858333333333334,3826.0561342592596
2015-07-31,10.741666666666667,3883.4758064516127
2015-08-31,8.775,3511.2950268817203
2015-09-30,73.925,3856.713773148148
2015-10-31,179.76666666666665,4359.2618727598565
2015-11-30,215.53333333333333,4726.045833333334
2015-12-31,267.68333333333334,4976.214269713262
2016-01-31,355.075,5584.9526209677415
2016-02-29,322.6666666666667,5527.11578065134
2016-03-31,319.51666666666665,5269.495519713262
2016-04-30,219.03333333333333,4500.653472222222
2016-05-31,102.55833333333334,3868.911402329749
2016-06-30,29.150000000000002,3779.440509259259
2016-07-31,10.275,3750.718189964158
2016-08-31,6.541666666666667,3572.52979390681
2016-09-30,17.3,3824.611342592593
2016-10-31,183.11666666666667,4291.284722222222
2016-11-30,287.5416666666667,5096.123611111111
2016-12-31,403.97499999999997,5642.113239247312
2017-01-31,482.9583333333333,6393.188060035843
2017-02-28,286.1333333333333,5407.140500992064
2017-03-31,222.53333333333333,4763.213373655914
2017-04-30,205.40833333333333,4215.950810185185
2017-05-31,82.47500000000001,3900.981630824373
2017-06-30,13.983333333333334,3837.925347222222
2017-07-31,5.141666666666667,3767.340277777778
2017-08-31,11.208333333333334,3568.084453405018
2017-09-30,69.97500000000001,3869.1944444444443
2017-10-31,112.61666666666667,4072.541218637993
2017-11-30,305.1166666666667,5171.978009259259
2017-12-31,385.23333333333335,5760.364247311828
2018-01-31,310.26666666666665,5423.69982078853
2018-02-28,420.55,6186.977430555556
2018-03-31,317.125,5406.363799283155
2018-04-30,132.275,4173.757638888889
2018-05-31,73.21666666666667,3784.5213933691757
2018-06-30,11.525,3751.753587962963
2018-07-31,0.25833333333333336,3848.74708781362
2018-08-31,8.125,3606.7273745519715
2018-09-30,35.541666666666664,3759.7869212962964
2018-10-31,133.46666666666667,4128.137992831541
2018-11-30,272.76666666666665,5034.70011574074
2018-12-31,330.59999999999997,5293.191420250896
2019-01-31,424.8666666666666,6024.372311827957
2019-02-28,286.89166666666665,5460.288814484127
2019-03-31,250.25833333333333,4809.073476702509
2019-04-30,190.9333333333333,4361.587731481482
2019-05-31,133.35,3963.0042562724016
2019-06-30,31.675,3748.771180555556
2019-07-31,1.875,3851.298275089606
2019-08-31,5.325,3507.991711469534
2019-09-30,34.0,3705.140625
2019-10-31,113.64166666666667,4046.873767921147
2019-11-30,292.93333333333334,5056.755208333333
2019-12-31,326.375,5229.749663978495
2020-01-31,347.90000000000003,5536.89751344086
2020-02-29,260.98333333333335,5161.545857279694
2020-03-31,276.14166666666665,4623.818884408602
2020-04-30,112.30833333333334,3527.2274305555557
2020-05-31,72.88333333333334,3413.7903225806454
2020-06-30,31.691666666666666,3542.4592592592594
2020-07-31,6.425000000000001,3669.483422939068
2020-08-31,7.258333333333333,3493.789202508961
2020-09-30,39.550000000000004,3716.7375
2020-10-31,166.44166666666666,4268.002352150537
2020-11-30,238.26666666666665,4586.4589120370365
2020-12-31,352.06666666666666,5306.5
